id,code,name,dish_type,cooking_method,description,instructions,tags,ingredients_json,is_active
,DISH-BRK-001,Trứng chiên bánh mì,breakfast,stir_fry,Trứng chiên bánh mì định lượng cho một khẩu phần người lớn.,"Sơ chế nguyên liệu; xào hoặc áp chảo đến khi chín, nêm vừa ăn và dùng nóng.","nhanh,no lâu","[{""name"":""Trứng gà"",""quantity"":2,""unit"":""quả""},{""name"":""Bánh mì"",""quantity"":80,""unit"":""g""},{""name"":""Dưa leo"",""quantity"":50,""unit"":""g""},{""name"":""Dầu ăn"",""quantity"":5,""unit"":""ml""},{""name"":""Hành lá"",""quantity"":5,""unit"":""g""}]",true
,DISH-BRK-002,Cháo yến mạch chuối,breakfast,boil,Cháo yến mạch chuối định lượng cho một khẩu phần người lớn.,"Sơ chế nguyên liệu; luộc/nấu đến khi chín, nêm vừa ăn và dùng nóng.","lành mạnh,no lâu","[{""name"":""Yến mạch"",""quantity"":60,""unit"":""g""},{""name"":""Sữa tươi"",""quantity"":200,""unit"":""ml""},{""name"":""Chuối"",""quantity"":100,""unit"":""g""},{""name"":""Đậu phộng"",""quantity"":10,""unit"":""g""}]",true
,DISH-BRK-003,Bún trứng rau cải,breakfast,boil,Bún trứng rau cải định lượng cho một khẩu phần người lớn.,"Sơ chế nguyên liệu; luộc/nấu đến khi chín, nêm vừa ăn và dùng nóng.","nhanh,rẻ","[{""name"":""Bún tươi"",""quantity"":180,""unit"":""g""},{""name"":""Trứng gà"",""quantity"":1,""unit"":""quả""},{""name"":""Cải ngọt"",""quantity"":80,""unit"":""g""},{""name"":""Hành lá"",""quantity"":5,""unit"":""g""},{""name"":""Nước mắm"",""quantity"":5,""unit"":""ml""}]",true
,DISH-BRK-004,Bánh mì trứng dưa leo,breakfast,boil,Bánh mì trứng dưa leo định lượng cho một khẩu phần người lớn.,"Sơ chế nguyên liệu; luộc/nấu đến khi chín, nêm vừa ăn và dùng nóng.","nhanh,rẻ","[{""name"":""Bánh mì"",""quantity"":100,""unit"":""g""},{""name"":""Trứng gà"",""quantity"":1,""unit"":""quả""},{""name"":""Dưa leo"",""quantity"":70,""unit"":""g""},{""name"":""Xà lách"",""quantity"":30,""unit"":""g""}]",true
,DISH-BRK-005,Sữa chua yến mạch táo,breakfast,,Sữa chua yến mạch táo định lượng cho một khẩu phần người lớn.,"Sơ chế sạch, phối trộn đều và dùng ngay.","lành mạnh,nhanh","[{""name"":""Sữa chua"",""quantity"":150,""unit"":""g""},{""name"":""Yến mạch"",""quantity"":40,""unit"":""g""},{""name"":""Táo"",""quantity"":120,""unit"":""g""}]",true
,DISH-BRK-006,Khoai lang trứng luộc,breakfast,boil,Khoai lang trứng luộc định lượng cho một khẩu phần người lớn.,"Sơ chế nguyên liệu; luộc/nấu đến khi chín, nêm vừa ăn và dùng nóng.","lành mạnh,no lâu","[{""name"":""Khoai lang"",""quantity"":220,""unit"":""g""},{""name"":""Trứng gà"",""quantity"":2,""unit"":""quả""},{""name"":""Cam"",""quantity"":100,""unit"":""g""}]",true
,DISH-BRK-007,Nui xào trứng,breakfast,stir_fry,Nui xào trứng định lượng cho một khẩu phần người lớn.,"Sơ chế nguyên liệu; xào hoặc áp chảo đến khi chín, nêm vừa ăn và dùng nóng.","nhanh,rẻ","[{""name"":""Nui"",""quantity"":70,""unit"":""g""},{""name"":""Trứng gà"",""quantity"":1,""unit"":""quả""},{""name"":""Cà rốt"",""quantity"":50,""unit"":""g""},{""name"":""Dầu ăn"",""quantity"":5,""unit"":""ml""},{""name"":""Hành lá"",""quantity"":5,""unit"":""g""}]",true
,DISH-BRK-008,Cơm gạo lứt trứng,breakfast,stir_fry,Cơm gạo lứt trứng định lượng cho một khẩu phần người lớn.,"Sơ chế nguyên liệu; xào hoặc áp chảo đến khi chín, nêm vừa ăn và dùng nóng.","lành mạnh,no lâu","[{""name"":""Gạo lứt"",""quantity"":70,""unit"":""g""},{""name"":""Trứng gà"",""quantity"":1,""unit"":""quả""},{""name"":""Cải ngọt"",""quantity"":70,""unit"":""g""},{""name"":""Dầu ăn"",""quantity"":4,""unit"":""ml""}]",true
,DISH-BRK-009,Phở gà,breakfast,boil,Phở gà định lượng cho một khẩu phần người lớn.,"Sơ chế nguyên liệu; luộc/nấu đến khi chín, nêm vừa ăn và dùng nóng.","giàu đạm,no lâu","[{""name"":""Phở tươi"",""quantity"":180,""unit"":""g""},{""name"":""Ức gà"",""quantity"":100,""unit"":""g""},{""name"":""Giá đỗ"",""quantity"":50,""unit"":""g""},{""name"":""Hành lá"",""quantity"":5,""unit"":""g""},{""name"":""Nước mắm"",""quantity"":5,""unit"":""ml""}]",true
,DISH-BRK-010,Bún cá,breakfast,boil,Bún cá định lượng cho một khẩu phần người lớn.,"Sơ chế nguyên liệu; luộc/nấu đến khi chín, nêm vừa ăn và dùng nóng.","giàu đạm,ít dầu","[{""name"":""Bún tươi"",""quantity"":180,""unit"":""g""},{""name"":""Cá rô phi"",""quantity"":100,""unit"":""g""},{""name"":""Cà chua"",""quantity"":80,""unit"":""g""},{""name"":""Hành lá"",""quantity"":5,""unit"":""g""},{""name"":""Nước mắm"",""quantity"":5,""unit"":""ml""}]",true
,DISH-BRK-011,Cháo gà gạo lứt,breakfast,boil,Cháo gà gạo lứt định lượng cho một khẩu phần người lớn.,"Sơ chế nguyên liệu; luộc/nấu đến khi chín, nêm vừa ăn và dùng nóng.","lành mạnh,giàu đạm","[{""name"":""Gạo lứt"",""quantity"":60,""unit"":""g""},{""name"":""Ức gà"",""quantity"":100,""unit"":""g""},{""name"":""Cà rốt"",""quantity"":40,""unit"":""g""},{""name"":""Hành lá"",""quantity"":5,""unit"":""g""}]",true
,DISH-BRK-012,Bánh mì ức gà,breakfast,stir_fry,Bánh mì ức gà định lượng cho một khẩu phần người lớn.,"Sơ chế nguyên liệu; xào hoặc áp chảo đến khi chín, nêm vừa ăn và dùng nóng.","giàu đạm,nhanh","[{""name"":""Bánh mì"",""quantity"":100,""unit"":""g""},{""name"":""Ức gà"",""quantity"":100,""unit"":""g""},{""name"":""Xà lách"",""quantity"":30,""unit"":""g""},{""name"":""Cà chua"",""quantity"":50,""unit"":""g""},{""name"":""Dưa leo"",""quantity"":50,""unit"":""g""}]",true
,DISH-BRK-013,Miến gà nấm,breakfast,boil,Miến gà nấm định lượng cho một khẩu phần người lớn.,"Sơ chế nguyên liệu; luộc/nấu đến khi chín, nêm vừa ăn và dùng nóng.","giàu đạm,ít dầu","[{""name"":""Miến dong"",""quantity"":60,""unit"":""g""},{""name"":""Đùi gà"",""quantity"":100,""unit"":""g""},{""name"":""Nấm hương tươi"",""quantity"":50,""unit"":""g""},{""name"":""Hành lá"",""quantity"":5,""unit"":""g""}]",true
,DISH-BRK-014,Yến mạch sữa xoài,breakfast,boil,Yến mạch sữa xoài định lượng cho một khẩu phần người lớn.,"Sơ chế nguyên liệu; luộc/nấu đến khi chín, nêm vừa ăn và dùng nóng.","lành mạnh,no lâu","[{""name"":""Yến mạch"",""quantity"":60,""unit"":""g""},{""name"":""Sữa tươi"",""quantity"":200,""unit"":""ml""},{""name"":""Xoài"",""quantity"":100,""unit"":""g""},{""name"":""Hạt chia"",""quantity"":8,""unit"":""g""}]",true
,DISH-BRK-015,Sữa chua thanh long hạt chia,breakfast,,Sữa chua thanh long hạt chia định lượng cho một khẩu phần người lớn.,"Sơ chế sạch, phối trộn đều và dùng ngay.","lành mạnh,nhanh","[{""name"":""Sữa chua"",""quantity"":150,""unit"":""g""},{""name"":""Thanh long"",""quantity"":150,""unit"":""g""},{""name"":""Hạt chia"",""quantity"":10,""unit"":""g""},{""name"":""Yến mạch"",""quantity"":30,""unit"":""g""}]",true
,DISH-BRK-016,Khoai tây bò xay,breakfast,stir_fry,Khoai tây bò xay định lượng cho một khẩu phần người lớn.,"Sơ chế nguyên liệu; xào hoặc áp chảo đến khi chín, nêm vừa ăn và dùng nóng.","giàu đạm,no lâu","[{""name"":""Khoai tây"",""quantity"":180,""unit"":""g""},{""name"":""Thịt bò xay"",""quantity"":100,""unit"":""g""},{""name"":""Hành tây"",""quantity"":40,""unit"":""g""},{""name"":""Dầu ăn"",""quantity"":5,""unit"":""ml""}]",true
,DISH-BRK-017,Bún đậu phụ rau,breakfast,boil,Bún đậu phụ rau định lượng cho một khẩu phần người lớn.,"Sơ chế nguyên liệu; luộc/nấu đến khi chín, nêm vừa ăn và dùng nóng.","chay,rẻ","[{""name"":""Bún tươi"",""quantity"":180,""unit"":""g""},{""name"":""Đậu phụ"",""quantity"":120,""unit"":""g""},{""name"":""Dưa leo"",""quantity"":70,""unit"":""g""},{""name"":""Tía tô"",""quantity"":10,""unit"":""g""},{""name"":""Xì dầu"",""quantity"":10,""unit"":""ml""}]",true
,DISH-BRK-018,Cháo đậu xanh thịt nạc,breakfast,boil,Cháo đậu xanh thịt nạc định lượng cho một khẩu phần người lớn.,"Sơ chế nguyên liệu; luộc/nấu đến khi chín, nêm vừa ăn và dùng nóng.","giàu đạm,no lâu","[{""name"":""Gạo trắng"",""quantity"":50,""unit"":""g""},{""name"":""Đậu xanh"",""quantity"":30,""unit"":""g""},{""name"":""Thịt heo nạc"",""quantity"":80,""unit"":""g""},{""name"":""Hành lá"",""quantity"":5,""unit"":""g""}]",true
,DISH-BRK-019,Bánh mì bơ đậu phộng chuối,breakfast,,Bánh mì bơ đậu phộng chuối định lượng cho một khẩu phần người lớn.,"Sơ chế sạch, phối trộn đều và dùng ngay.","nhanh,no lâu","[{""name"":""Bánh mì"",""quantity"":100,""unit"":""g""},{""name"":""Bơ đậu phộng"",""quantity"":25,""unit"":""g""},{""name"":""Chuối"",""quantity"":100,""unit"":""g""}]",true
,DISH-BRK-020,Phở bò rau,breakfast,boil,Phở bò rau định lượng cho một khẩu phần người lớn.,"Sơ chế nguyên liệu; luộc/nấu đến khi chín, nêm vừa ăn và dùng nóng.","giàu đạm,no lâu","[{""name"":""Phở tươi"",""quantity"":180,""unit"":""g""},{""name"":""Thịt bò"",""quantity"":100,""unit"":""g""},{""name"":""Giá đỗ"",""quantity"":50,""unit"":""g""},{""name"":""Hành tây"",""quantity"":30,""unit"":""g""},{""name"":""Hành lá"",""quantity"":5,""unit"":""g""}]",true
,DISH-STP-001,Cơm trắng,staple,boil,Cơm trắng định lượng cho một khẩu phần người lớn.,"Sơ chế nguyên liệu; luộc/nấu đến khi chín, nêm vừa ăn và dùng nóng.","cơ bản,rẻ","[{""name"":""Gạo trắng"",""quantity"":75,""unit"":""g""}]",true
,DISH-STP-002,Cơm gạo lứt,staple,boil,Cơm gạo lứt định lượng cho một khẩu phần người lớn.,"Sơ chế nguyên liệu; luộc/nấu đến khi chín, nêm vừa ăn và dùng nóng.","lành mạnh,no lâu","[{""name"":""Gạo lứt"",""quantity"":75,""unit"":""g""}]",true
,DISH-STP-003,Cơm nếp,staple,boil,Cơm nếp định lượng cho một khẩu phần người lớn.,"Sơ chế nguyên liệu; luộc/nấu đến khi chín, nêm vừa ăn và dùng nóng.",no lâu,"[{""name"":""Gạo nếp"",""quantity"":75,""unit"":""g""}]",true
,DISH-STP-004,Khoai lang hấp,staple,steam,Khoai lang hấp định lượng cho một khẩu phần người lớn.,"Sơ chế nguyên liệu; hấp đến khi chín, nêm vừa ăn và dùng nóng.","lành mạnh,ít dầu","[{""name"":""Khoai lang"",""quantity"":220,""unit"":""g""}]",true
,DISH-STP-005,Khoai tây luộc,staple,boil,Khoai tây luộc định lượng cho một khẩu phần người lớn.,"Sơ chế nguyên liệu; luộc/nấu đến khi chín, nêm vừa ăn và dùng nóng.","cơ bản,ít dầu","[{""name"":""Khoai tây"",""quantity"":250,""unit"":""g""}]",true
,DISH-STP-006,Khoai môn hấp,staple,steam,Khoai môn hấp định lượng cho một khẩu phần người lớn.,"Sơ chế nguyên liệu; hấp đến khi chín, nêm vừa ăn và dùng nóng.","no lâu,ít dầu","[{""name"":""Khoai môn"",""quantity"":220,""unit"":""g""}]",true
,DISH-STP-007,Ngô ngọt luộc,staple,boil,Ngô ngọt luộc định lượng cho một khẩu phần người lớn.,"Sơ chế nguyên liệu; luộc/nấu đến khi chín, nêm vừa ăn và dùng nóng.","lành mạnh,rẻ","[{""name"":""Ngô ngọt"",""quantity"":250,""unit"":""g""}]",true
,DISH-STP-008,Quinoa nấu chín,staple,boil,Quinoa nấu chín định lượng cho một khẩu phần người lớn.,"Sơ chế nguyên liệu; luộc/nấu đến khi chín, nêm vừa ăn và dùng nóng.","lành mạnh,no lâu","[{""name"":""Hạt quinoa"",""quantity"":75,""unit"":""g""}]",true
,DISH-STP-009,Bún tươi,staple,boil,Bún tươi định lượng cho một khẩu phần người lớn.,"Sơ chế nguyên liệu; luộc/nấu đến khi chín, nêm vừa ăn và dùng nóng.","cơ bản,rẻ","[{""name"":""Bún tươi"",""quantity"":220,""unit"":""g""}]",true
,DISH-STP-010,Phở tươi,staple,boil,Phở tươi định lượng cho một khẩu phần người lớn.,"Sơ chế nguyên liệu; luộc/nấu đến khi chín, nêm vừa ăn và dùng nóng.","cơ bản,rẻ","[{""name"":""Phở tươi"",""quantity"":220,""unit"":""g""}]",true
,DISH-STP-011,Miến dong,staple,boil,Miến dong định lượng cho một khẩu phần người lớn.,"Sơ chế nguyên liệu; luộc/nấu đến khi chín, nêm vừa ăn và dùng nóng.","ít dầu,no lâu","[{""name"":""Miến dong"",""quantity"":65,""unit"":""g""}]",true
,DISH-STP-012,Sắn luộc,staple,boil,Sắn luộc định lượng cho một khẩu phần người lớn.,"Sơ chế nguyên liệu; luộc/nấu đến khi chín, nêm vừa ăn và dùng nóng.","rẻ,no lâu","[{""name"":""Sắn"",""quantity"":220,""unit"":""g""}]",true
,DISH-SAV-001,Thịt kho tàu,savory,braise,Thịt kho tàu định lượng cho một khẩu phần người lớn.,"Sơ chế nguyên liệu; nấu/kho đến khi chín, nêm vừa ăn và dùng nóng.","giàu đạm,đậm đà","[{""name"":""Thịt ba chỉ"",""quantity"":120,""unit"":""g""},{""name"":""Trứng gà"",""quantity"":1,""unit"":""quả""},{""name"":""Nước dừa"",""quantity"":120,""unit"":""ml""},{""name"":""Nước mắm"",""quantity"":8,""unit"":""ml""},{""name"":""Đường"",""quantity"":5,""unit"":""g""}]",true
